,episode_length,ep_reward,episodes,total_step,average_return
0,20,1.0,99,2000,-0.08
1,20,0.0,199,4000,0.01
2,20,2.0,299,6000,0.15
3,20,-3.0,399,8000,0.13
4,20,-3.0,499,10000,0.37
5,20,1.0,599,12000,0.21
6,20,0.0,699,14000,0.3
7,20,0.0,799,16000,0.57
8,20,-1.0,899,18000,0.5
9,20,2.0,999,20000,0.25
10,20,2.0,1099,22000,0.48
11,20,1.0,1199,24000,0.5
12,20,1.0,1299,26000,0.61
13,20,1.0,1399,28000,0.93
14,20,1.0,1499,30000,0.69
15,20,1.0,1599,32000,0.62
16,20,2.0,1699,34000,0.67
17,20,0.0,1799,36000,0.67
18,20,0.0,1899,38000,1.0
19,20,-1.0,1999,40000,0.86
20,20,2.0,2099,42000,0.83
21,20,1.0,2199,44000,0.99
22,20,1.0,2299,46000,0.76
23,20,2.0,2399,48000,0.97
24,20,0.0,2499,50000,0.88
25,20,3.0,2599,52000,1.07
26,20,1.0,2699,54000,0.95
27,20,0.0,2799,56000,1.39
28,20,2.0,2899,58000,0.92
29,20,1.0,2999,60000,0.88
30,20,0.0,3099,62000,1.02
31,20,1.0,3199,64000,0.96
32,20,1.0,3299,66000,0.88
33,20,2.0,3399,68000,1.06
34,20,0.0,3499,70000,0.99
35,20,2.0,3599,72000,1.09
36,20,-1.0,3699,74000,1.04
37,20,-1.0,3799,76000,1.21
38,20,1.0,3899,78000,1.13
39,20,1.0,3999,80000,1.15
40,20,1.0,4099,82000,1.11
41,20,1.0,4199,84000,1.14
42,20,0.0,4299,86000,1.22
43,20,1.0,4399,88000,1.09
44,20,1.0,4499,90000,1.04
45,20,2.0,4599,92000,1.23
46,20,0.0,4699,94000,1.22
47,20,1.0,4799,96000,1.39
48,20,1.0,4899,98000,1.45
49,20,1.0,4999,100000,1.31
50,20,1.0,5099,102000,1.23
51,20,2.0,5199,104000,1.31
52,20,1.0,5299,106000,1.08
53,20,0.0,5399,108000,1.28
54,20,2.0,5499,110000,1.28
55,20,3.0,5599,112000,1.31
56,20,4.0,5699,114000,1.34
57,20,1.0,5799,116000,1.31
58,20,-1.0,5899,118000,1.12
59,20,2.0,5999,120000,1.4
60,20,3.0,6099,122000,1.16
61,20,3.0,6199,124000,1.28
62,20,0.0,6299,126000,1.33
63,20,1.0,6399,128000,1.46
64,20,1.0,6499,130000,1.33
65,20,-3.0,6599,132000,1.41
66,20,1.0,6699,134000,1.42
67,20,0.0,6799,136000,1.39
68,20,3.0,6899,138000,1.37
69,20,1.0,6999,140000,1.35
70,20,1.0,7099,142000,1.36
71,20,1.0,7199,144000,1.38
72,20,1.0,7299,146000,1.31
73,20,2.0,7399,148000,1.35
74,20,3.0,7499,150000,1.34
75,20,4.0,7599,152000,1.68
76,20,2.0,7699,154000,1.45
77,20,1.0,7799,156000,1.51
78,20,2.0,7899,158000,1.47
79,20,2.0,7999,160000,1.41
80,20,1.0,8099,162000,1.49
81,20,3.0,8199,164000,1.28
82,20,2.0,8299,166000,1.38
83,20,2.0,8399,168000,1.38
84,20,3.0,8499,170000,1.35
85,20,4.0,8599,172000,1.35
86,20,0.0,8699,174000,1.23
87,20,1.0,8799,176000,1.41
88,20,1.0,8899,178000,1.4
89,20,2.0,8999,180000,1.34
90,20,2.0,9099,182000,1.41
91,20,3.0,9199,184000,1.31
92,20,-1.0,9299,186000,1.44
93,20,3.0,9399,188000,1.26
94,20,3.0,9499,190000,1.52
95,20,0.0,9599,192000,1.23
96,20,3.0,9699,194000,1.44
97,20,2.0,9799,196000,1.43
98,20,2.0,9899,198000,1.5
99,20,3.0,9999,200000,1.38
