,episode_length,ep_reward,episodes,total_step,average_return
0,20,1.0,99,2000,0.08
1,20,0.0,199,4000,0.05
2,20,0.0,299,6000,0.04
3,20,0.0,399,8000,0.0
4,20,1.0,499,10000,0.06
5,20,1.0,599,12000,0.14
6,20,-1.0,699,14000,0.11
7,20,0.0,799,16000,-0.06
8,20,1.0,899,18000,0.09
9,20,-1.0,999,20000,0.22
10,20,1.0,1099,22000,0.14
11,20,0.0,1199,24000,0.15
12,20,-1.0,1299,26000,0.15
13,20,0.0,1399,28000,0.24
14,20,0.0,1499,30000,0.21
15,20,1.0,1599,32000,0.29
16,20,0.0,1699,34000,0.14
17,20,0.0,1799,36000,0.2
18,20,1.0,1899,38000,0.22
19,20,1.0,1999,40000,0.26
20,20,0.0,2099,42000,0.22
21,20,1.0,2199,44000,0.28
22,20,0.0,2299,46000,0.19
23,20,1.0,2399,48000,0.35
24,20,0.0,2499,50000,0.36
25,20,0.0,2599,52000,0.4
26,20,1.0,2699,54000,0.47
27,20,0.0,2799,56000,0.4
28,20,1.0,2899,58000,0.4
29,20,1.0,2999,60000,0.39
30,20,0.0,3099,62000,0.36
31,20,1.0,3199,64000,0.4
32,20,1.0,3299,66000,0.45
33,20,0.0,3399,68000,0.35
34,20,1.0,3499,70000,0.45
35,20,1.0,3599,72000,0.54
36,20,0.0,3699,74000,0.56
37,20,1.0,3799,76000,0.5
38,20,1.0,3899,78000,0.38
39,20,0.0,3999,80000,0.44
40,20,1.0,4099,82000,0.46
41,20,0.0,4199,84000,0.43
42,20,1.0,4299,86000,0.51
43,20,0.0,4399,88000,0.59
44,20,1.0,4499,90000,0.5
45,20,0.0,4599,92000,0.59
46,20,1.0,4699,94000,0.49
47,20,1.0,4799,96000,0.65
48,20,0.0,4899,98000,0.59
49,20,1.0,4999,100000,0.67
50,20,0.0,5099,102000,0.68
51,20,1.0,5199,104000,0.58
52,20,0.0,5299,106000,0.7
53,20,1.0,5399,108000,0.47
54,20,1.0,5499,110000,0.59
55,20,1.0,5599,112000,0.6
56,20,1.0,5699,114000,0.69
57,20,0.0,5799,116000,0.63
58,20,1.0,5899,118000,0.57
59,20,1.0,5999,120000,0.66
60,20,1.0,6099,122000,0.59
61,20,0.0,6199,124000,0.59
62,20,1.0,6299,126000,0.67
63,20,1.0,6399,128000,0.48
64,20,1.0,6499,130000,0.64
65,20,1.0,6599,132000,0.68
66,20,0.0,6699,134000,0.58
67,20,1.0,6799,136000,0.58
68,20,0.0,6899,138000,0.72
69,20,1.0,6999,140000,0.65
70,20,1.0,7099,142000,0.62
71,20,1.0,7199,144000,0.67
72,20,1.0,7299,146000,0.59
73,20,0.0,7399,148000,0.7
74,20,1.0,7499,150000,0.65
75,20,1.0,7599,152000,0.7
76,20,1.0,7699,154000,0.66
77,20,0.0,7799,156000,0.62
78,20,1.0,7899,158000,0.7
79,20,0.0,7999,160000,0.62
80,20,0.0,8099,162000,0.61
81,20,0.0,8199,164000,0.62
82,20,1.0,8299,166000,0.6
83,20,0.0,8399,168000,0.67
84,20,0.0,8499,170000,0.62
85,20,1.0,8599,172000,0.57
86,20,0.0,8699,174000,0.65
87,20,0.0,8799,176000,0.69
88,20,1.0,8899,178000,0.67
89,20,1.0,8999,180000,0.71
90,20,1.0,9099,182000,0.59
91,20,1.0,9199,184000,0.6
92,20,1.0,9299,186000,0.79
93,20,1.0,9399,188000,0.78
94,20,0.0,9499,190000,0.68
95,20,1.0,9599,192000,0.7
96,20,1.0,9699,194000,0.59
97,20,0.0,9799,196000,0.72
98,20,0.0,9899,198000,0.75
99,20,1.0,9999,200000,0.73
